Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
51,Ervey,Montes,5-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,1050,1584.85,2050,1304.98,3050,5439,-677.71
1,Mickey,Mouse,25-Apr-92,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,403.12,2000,4479.46,3000,9151,-1653.84
3,Minnie,Mouse,3-Nov-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,1894.16,2002,327.99,3002,3442,-239.31
91,Daniel,N,4-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,1090,364.34,2090,2226.15,3090,4837,-1623.03
56,Grecia,Navarrete,1-Aug-60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,1055,1622.04,2055,2738.6,3055,9764,-305.52
92,Daniel,O,16-Sep-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,1091,1710.28,2091,2761.08,3091,7732,-0.1
55,Gildardo,Orea,13-Mar-51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,1054,291.85,2054,179.25,3054,4072,-1514.01
69,Mauricio,Ornelas-Gutierrez,7-Aug-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,1068,192.14,2068,1218.43,3068,6395,-1129.63
93,Daniel,P,16-Feb-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,1092,1069.19,2092,3519.67,3092,7626,-1963.63
15,Peter,Pan,29-May-87,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,41.62,2014,2252.52,3014,5699,-1137.78
94,Daniel,Q,7-Feb-71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,1093,498.13,2093,205.32,3093,4002,-673.84
29,Evil,Queen,19-Dec-42,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,238.09,2028,4844.83,3028,7647,-367.09
95,Daniel,R,20-Apr-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,1094,745.03,2094,1288.97,3094,9008,-1040.57
62,Juan,Rabelo,29-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,1061,1851.26,2061,3607.48,3061,3109,-674.27
77,Khandoker,Rahad,15-Jun-57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,1076,220.57,2076,1902.09,3076,4822,-157.39
52,Estevan,Ramos,15-Dec-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,1051,760.91,2051,2939.07,3051,6176,-860.87
46,Christopher,Reyes,4-May-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,1045,1330.23,2045,4039.37,3045,9283,-444.4
40,Alfredo,Rodriguez,14-Feb-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,1039,1772.98,2039,3443.94,3039,4766,-1734.35
59,Jose,Rodriguez Ortega,8-Sep-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,1058,398.46,2058,789.31,3058,8718,-405.22
68,Manuel,Ruvalcaba,30-Dec-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,1067,870.6,2067,1038.13,3067,5787,-326.57
96,Daniel,S,8-Jan-91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,1095,1197.47,2095,2944.12,3095,7282,-718.69
97,Daniel,T,22-Oct-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,1096,894.63,2096,4884.23,3096,5066,-828.59
75,Yulianna,Torres,20-Aug-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,1074,1035.19,2074,3391.57,3074,5431,-1545.62
98,Daniel,U,27-May-88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,1097,417.42,2097,840.66,3097,6171,-978.33
99,Daniel,V,25-Aug-06,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,1098,1187.71,2098,2405.55,3098,8400,-1052.86
100,Daniel,W,14-Jun-96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,1099,1239.64,2099,261.75,3099,7958,-470.23
101,Daniel,X,25-Nov-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,1100,122.74,2100,4668.29,3100,5540,-817.67
102,Daniel,Y,12-Mar-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,1101,738.93,2101,3810.87,3101,6534,-199.91
103,Daniel,Z,9-Aug-56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,1102,1825.29,2102,4635,3102,5697,-649.08
43,Arae,Zarzosa,20-Sep-14,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,1042,1994.56,2042,4248.79,3042,8629,-268.92
